demand_id,subject_code,subject_name,course_section_code,class_group_id,session_type,periods_required_per_week,required_room_type,candidate_teacher_ids,candidate_teacher_count,max_registered_students
D001,HUS1023,Nhập môn phân tích dữ liệu,HUS1023 1,ĐHKHTN,Không rõ,3.0,0,T015|T049|T090,3,77
D002,HUS1023,Nhập môn phân tích dữ liệu,HUS1023 2,ĐHKHTN,Không rõ,3.0,0,T015|T049|T090,3,77
D003,HUS1023,Nhập môn phân tích dữ liệu,HUS1023 3,ĐHKHTN,Không rõ,3.0,0,T015|T049|T090,3,77
D004,HUS1023,Nhập môn phân tích dữ liệu,HUS1023 4,ĐHKHTN,Không rõ,3.0,0,T015|T049|T090,3,77
D005,HUS1023,Nhập môn phân tích dữ liệu,HUS1023 5,ĐHKHTN,Không rõ,3.0,0,T015|T049|T090,3,77
D006,MAT1076,Cơ học lý thuyết,MAT1076 1 TNT,K70 CNKHTN,Bài tập,2.0,0,T072,1,25
D007,MAT1076,Cơ học lý thuyết,MAT1076 1 TNT,K70 CNKHTN,Lý thuyết,2.0,0,T072,1,25
D008,MAT1076,Cơ học lý thuyết,MAT1076 2,K70A1T,Bài tập,2.0,0,T072,1,77
D009,MAT1076,Cơ học lý thuyết,MAT1076 2,K70A1T,Lý thuyết,2.0,0,T072,1,77
D010,MAT1090,Đại số tuyến tính,MAT1090 1,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D011,MAT1090,Đại số tuyến tính,MAT1090 2,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D012,MAT1090,Đại số tuyến tính,MAT1090 3,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D013,MAT1090,Đại số tuyến tính,MAT1090 4,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D014,MAT1090,Đại số tuyến tính,MAT1090 5,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D015,MAT1090,Đại số tuyến tính,MAT1090 6,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D016,MAT1090,Đại số tuyến tính,MAT1090 7,ĐHKHTN,Không rõ,4.0,0,T052|T067|T076|T083|T084,5,70
D017,MAT1092,Giải tích 2,MAT1092 1,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D018,MAT1092,Giải tích 2,MAT1092 2,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D019,MAT1092,Giải tích 2,MAT1092 3,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D020,MAT1092,Giải tích 2,MAT1092 4,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D021,MAT1092,Giải tích 2,MAT1092 5,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D022,MAT1092,Giải tích 2,MAT1092 6,ĐHKHTN,Không rõ,4.0,0,T002|T004|T027|T054|T059|T088|T089,7,77
D023,MAT1101,Xác suất thống kê,MAT1101 1,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
D024,MAT1101,Xác suất thống kê,MAT1101 10,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
D025,MAT1101,Xác suất thống kê,MAT1101 11,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
D026,MAT1101,Xác suất thống kê,MAT1101 12,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
D027,MAT1101,Xác suất thống kê,MAT1101 13,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
D028,MAT1101,Xác suất thống kê,MAT1101 14,ĐHKHTN,Không rõ,4.0,0,T015|T019|T025|T044|T049|T085|T086|T087,8,100
