room_name,room_type,room_capacity_open_seats
501-T3,0,35.0
502-T3,0,100.0
509-T3,0,100.0
102-T4,0,100.0
103-T4,0,77.0
104-T4,0,77.0
201-T4,0,100.0
202-T4,0,77.0
203-T4,0,100.0
204-T4,0,100.0
301-T4,0,77.0
302-T4,0,77.0
303-T4,0,77.0
304-T4,0,100.0
401-T4,0,70.0
402-T4,0,100.0
403-T4,0,70.0
513-T4,0,100.0
514-T4,0,25.0
101-T5,0,25.0
102-T5,0,40.0
103-T5,0,70.0
105-T5,0,40.0
106-T5,0,100.0
107-T5,0,100.0
108-T5,0,77.0
109-T5,0,40.0
111-T5,0,40.0
201-T5,0,100.0
202-T5,0,77.0
203-T5,0,77.0
204-T5,0,70.0
205-T5,0,77.0
206-T5,0,77.0
207-T5,0,70.0
208-T5,0,77.0
209-T5,0,77.0
211-T5,0,35.0
301-T5,0,35.0
302-T5,0,70.0
303-T5,0,40.0
304-T5,0,35.0
306-T5,0,35.0
308-T5,0,60.0
309-T5,0,40.0
310-T5,0,15.0
311-T5,0,35.0
401-T5,0,35.0
402-T5,0,77.0
403-T5,0,35.0
404-T5,0,40.0
406-T5,0,100.0
407-T5,0,15.0
408-T5,0,70.0
410-T5,0,25.0
413-T5,0,35.0
502-T5,1,24.0
503-T5,1,24.0
504-T5,1,24.0
505-T5,1,24.0
506-T5,1,24.0
507-T5,1,24.0
508-T5,1,24.0
509-T5,1,24.0
510-T5,1,24.0
511-T5,1,24.0
513-T5,0,35.0
GĐT7,0,300.0
