slot_id,day_code,day_name,period
S001,2,Thứ 2,1
S002,2,Thứ 2,2
S003,2,Thứ 2,3
S004,2,Thứ 2,4
S005,2,Thứ 2,5
S006,2,Thứ 2,6
S007,2,Thứ 2,7
S008,2,Thứ 2,8
S009,2,Thứ 2,9
S010,2,Thứ 2,10
S011,2,Thứ 2,11
S012,2,Thứ 2,12
S013,3,Thứ 3,1
S014,3,Thứ 3,2
S015,3,Thứ 3,3
S016,3,Thứ 3,4
S017,3,Thứ 3,5
S018,3,Thứ 3,6
S019,3,Thứ 3,7
S020,3,Thứ 3,8
S021,3,Thứ 3,9
S022,3,Thứ 3,10
S023,3,Thứ 3,11
S024,3,Thứ 3,12
S025,4,Thứ 4,1
S026,4,Thứ 4,2
S027,4,Thứ 4,3
S028,4,Thứ 4,4
S029,4,Thứ 4,5
S030,4,Thứ 4,6
S031,4,Thứ 4,7
S032,4,Thứ 4,8
S033,4,Thứ 4,9
S034,4,Thứ 4,10
S035,4,Thứ 4,11
S036,4,Thứ 4,12
S037,5,Thứ 5,1
S038,5,Thứ 5,2
S039,5,Thứ 5,3
S040,5,Thứ 5,4
S041,5,Thứ 5,5
S042,5,Thứ 5,6
S043,5,Thứ 5,7
S044,5,Thứ 5,8
S045,5,Thứ 5,9
S046,5,Thứ 5,10
S047,5,Thứ 5,11
S048,5,Thứ 5,12
S049,6,Thứ 6,1
S050,6,Thứ 6,2
S051,6,Thứ 6,3
S052,6,Thứ 6,4
S053,6,Thứ 6,5
S054,6,Thứ 6,6
S055,6,Thứ 6,7
S056,6,Thứ 6,8
S057,6,Thứ 6,9
S058,6,Thứ 6,10
S059,6,Thứ 6,11
S060,6,Thứ 6,12
S061,7,Thứ 7,3
S062,7,Thứ 7,4
S063,7,Thứ 7,5
S064,7,Thứ 7,6
S065,7,Thứ 7,7
S066,7,Thứ 7,8
S067,7,Thứ 7,9
S068,7,Thứ 7,10
S069,7,Thứ 7,11
S070,7,Thứ 7,12
S071,7,Thứ 7,13
S072,CN,Chủ nhật,13
